config,split,trades,trd/wk,win%,avgW%,avgL%,exp%,net%,maxDD%,stop%,tp%,section
none,FULL,174,3.1,70.1,1.03,-1.6,0.245,42.7,-10.7,0.0,0.0,A
none,  H1,90,3.3,68.9,0.61,-1.25,0.034,3.0,-6.7,0.0,0.0,A
none,  H2,84,3.0,71.4,1.47,-2.01,0.472,39.7,-11.0,0.0,0.0,A
close,FULL,174,3.1,70.1,1.03,-1.37,0.314,54.6,-7.8,2.0,0.0,A
close,  H1,90,3.3,68.9,0.61,-1.02,0.105,9.5,-6.5,2.0,0.0,A
close,  H2,84,3.0,71.4,1.47,-1.78,0.537,45.1,-8.5,2.0,0.0,A
intraday,FULL,174,3.1,60.3,1.04,-2.9,-0.526,-91.6,-92.0,25.0,0.0,A
intraday,  H1,90,3.3,61.1,0.64,-1.6,-0.23,-20.7,-22.6,20.0,0.0,A
intraday,  H2,84,3.0,59.5,1.47,-4.24,-0.844,-70.9,-71.4,30.0,0.0,A
intraday_conf,FULL,174,3.1,60.3,1.04,-2.9,-0.526,-91.6,-92.0,25.0,0.0,A
intraday_conf,  H1,90,3.3,61.1,0.64,-1.6,-0.23,-20.7,-22.6,20.0,0.0,A
intraday_conf,  H2,84,3.0,59.5,1.47,-4.24,-0.844,-70.9,-71.4,30.0,0.0,A
sl=none,FULL,174,3.1,70.1,1.03,-1.6,0.245,42.7,-10.7,0.0,0.0,B
sl=none,  H1,90,3.3,68.9,0.61,-1.25,0.034,3.0,-6.7,0.0,0.0,B
sl=none,  H2,84,3.0,71.4,1.47,-2.01,0.472,39.7,-11.0,0.0,0.0,B
sl=1.0x,FULL,174,3.1,58.6,1.05,-2.57,-0.444,-77.3,-77.9,35.0,0.0,B
sl=1.0x,  H1,90,3.3,58.9,0.66,-1.51,-0.235,-21.2,-20.3,32.0,0.0,B
sl=1.0x,  H2,84,3.0,58.3,1.48,-3.68,-0.668,-56.1,-57.8,38.0,0.0,B
sl=1.5x,FULL,174,3.1,60.3,1.04,-2.9,-0.526,-91.6,-92.0,25.0,0.0,B
sl=1.5x,  H1,90,3.3,61.1,0.64,-1.6,-0.23,-20.7,-22.6,20.0,0.0,B
sl=1.5x,  H2,84,3.0,59.5,1.47,-4.24,-0.844,-70.9,-71.4,30.0,0.0,B
sl=2.0x,FULL,174,3.1,64.9,1.07,-2.65,-0.234,-40.6,-52.4,16.0,0.0,B
sl=2.0x,  H1,90,3.3,62.2,0.64,-1.54,-0.183,-16.5,-18.3,14.0,0.0,B
sl=2.0x,  H2,84,3.0,67.9,1.5,-4.06,-0.287,-24.1,-36.4,17.0,0.0,B
otm=0.5%,FULL,174,3.1,58.0,1.88,-4.93,-0.973,-169.4,-168.9,28.0,0.0,C
otm=0.5%,  H1,90,3.3,60.0,1.46,-3.64,-0.581,-52.3,-59.6,26.0,0.0,C
otm=0.5%,  H2,84,3.0,56.0,2.37,-6.18,-1.394,-117.1,-117.1,31.0,0.0,C
otm=1.0%,FULL,174,3.1,60.3,1.04,-2.9,-0.526,-91.6,-92.0,25.0,0.0,C
otm=1.0%,  H1,90,3.3,61.1,0.64,-1.6,-0.23,-20.7,-22.6,20.0,0.0,C
otm=1.0%,  H2,84,3.0,59.5,1.47,-4.24,-0.844,-70.9,-71.4,30.0,0.0,C
otm=1.5%,FULL,174,3.1,60.3,0.62,-1.76,-0.325,-56.6,-56.9,23.0,0.0,C
otm=1.5%,  H1,90,3.3,58.9,0.29,-0.69,-0.11,-9.9,-11.6,19.0,0.0,C
otm=1.5%,  H2,84,3.0,61.9,0.95,-3.0,-0.556,-46.7,-47.1,27.0,0.0,C
tp=off,FULL,174,3.1,60.3,1.04,-2.9,-0.526,-91.6,-92.0,25.0,0.0,D
tp=off,  H1,90,3.3,61.1,0.64,-1.6,-0.23,-20.7,-22.6,20.0,0.0,D
tp=off,  H2,84,3.0,59.5,1.47,-4.24,-0.844,-70.9,-71.4,30.0,0.0,D
tp@50%,FULL,174,3.1,67.8,0.83,-3.38,-0.521,-90.6,-94.6,25.0,72.0,D
tp@50%,  H1,90,3.3,68.9,0.58,-1.79,-0.155,-13.9,-19.8,20.0,76.0,D
tp@50%,  H2,84,3.0,66.7,1.11,-4.96,-0.913,-76.7,-80.7,30.0,68.0,D
tp@30%,FULL,174,3.1,66.1,1.12,-3.3,-0.382,-66.4,-82.4,25.0,64.0,D
tp@30%,  H1,90,3.3,65.6,0.73,-1.78,-0.134,-12.0,-17.7,20.0,63.0,D
tp@30%,  H2,84,3.0,66.7,1.52,-4.98,-0.647,-54.3,-70.5,30.0,65.0,D
conf>=0.3%,FULL,174,3.1,60.3,1.04,-2.9,-0.526,-91.6,-92.0,25.0,0.0,E
conf>=0.3%,  H1,90,3.3,61.1,0.64,-1.6,-0.23,-20.7,-22.6,20.0,0.0,E
conf>=0.3%,  H2,84,3.0,59.5,1.47,-4.24,-0.844,-70.9,-71.4,30.0,0.0,E
conf>=0.4%,FULL,174,3.1,60.3,1.04,-2.9,-0.526,-91.6,-92.0,25.0,0.0,E
conf>=0.4%,  H1,90,3.3,61.1,0.64,-1.6,-0.23,-20.7,-22.6,20.0,0.0,E
conf>=0.4%,  H2,84,3.0,59.5,1.47,-4.24,-0.844,-70.9,-71.4,30.0,0.0,E
conf>=0.6%,FULL,174,3.1,60.9,1.03,-2.9,-0.507,-88.2,-88.5,24.0,0.0,E
conf>=0.6%,  H1,90,3.3,62.2,0.64,-1.62,-0.211,-19.0,-22.5,19.0,0.0,E
conf>=0.6%,  H2,84,3.0,59.5,1.47,-4.19,-0.823,-69.1,-69.7,29.0,0.0,E
